#WORD	#UPOS	#MORPHO	#NEWPOS	#NEWMORPHO	#COMMENTS
_	n	_	NOUN	_	
_	np	_	PROPN	_	
_	vblex	_	VERB	_	aux?
_	vbser	_	COP	_	aux?
_	vbhaver	_	VERB	_	aux?
_	vaux	_	AUX	_	
_	adj	_	ADJ	_	
_	post	_	ADP	AdpType=Post	
_	adv	_	ADV	_	
_	preadv	_	ADV	_	
_	postadv	_	ADV	_	
_	mod	_	_	_	not in english data?
_	det	_	DET	_	
_	prn	_	PRON	_	
_	pr	_	ADP	AdpType=Prep	
_	num	_	NUM	_	
_	ij	_	INTJ	_	
_	cncoo	_	CCONJ	_	
_	cnjsub	_	SCONJ	_	
_	cnjadv	_	ADV,SCONJ	_	
_	sent	_	PUNCT	_	
_	cm	_	PUNCT	_	
_	lquot	_	PUNCT	_	
_	rquot	_	PUNCT	_	
_	_	f	_	Gender=Fem	
_	_	m	_	Gender=Masc	
_	_	nt	_	Gender=Neut	
_	_	ut	_	Gender=Com	
_	_	mf	_	Gender=Fem,Gender=Masc	
_	_	mn	_	Gender=Masc,Gender=Neut	
_	_	fn	_	Gender=Fem,Gender=Neut	
_	_	mfn	_	Gender=Masc,Gender=Neut,Gender=Fem	
_	_	mp	_	Gender=Masc|Animacy=Hum	?
_	_	ma	_	Gender=Masc|Animacy=Anim	
_	_	mi	_	Gender=Masc|Animacy=Inan	
_	_	aa	_	Animacy=Anim	
_	_	an	_	Animacy=Anim,Animacy=Inan	
_	_	nn	_	Animacy=Inan	
_	_	pers	_	PronType=Prs	
_	_	rel	_	PronType=Rel	
_	_	acr	_	Abbr=Yes	
_	_	ind	_	PronType=Ind	
_	_	ref	_	Reflex=Yes	
_	_	pos	_	Poss=Yes	
_	_	dem	_	PronType=Dem	
_	_	def	_	PronType=Art|Definite=Def	
_	_	itg	_	PronType=Int	
_	_	ind	_	PronType=Art|Definite=Ind	
_	_	sg	_	Number=Sing	
_	_	pl	_	Number=Plur	
_	_	sp	_	Number=Plur,Number=Sing	
_	_	du	_	Number=Dual	
_	_	nom	_	Case=Nom	
_	_	acc	_	Case=Acc	
_	_	dat	_	Case=Dat	
_	_	gen	_	Case=Gen	
_	_	dg	_	Case=Dat,Case=Gen	
_	_	voc	_	Case=Voc	
_	_	abl	_	Case=Abl	
_	_	ins	_	Case=Ins	
_	_	loc	_	Case=Loc	
_	_	tra	_	Case=Tra	
_	_	ill	_	Case=Ill	
_	_	ine	_	Case=Ine	
_	_	ade	_	Case=Ade	
_	_	all	_	Case=All	
_	_	abe	_	Case=Abe	
_	_	ess	_	Case=Ess	
_	_	par	_	Case=Par	
_	_	dis	_	Case=Dis	
_	_	com	_	Case=Com	
_	_	actv	_	Voice=Act	
_	_	pass	_	Voice=Pass	
_	_	pasv	_	Voice=Pass	
_	_	midv	_	Voice=Mid	
_	_	caus	_	Voice=Cau	
_	_	pres	_	Tense=Pres	
_	_	pret	_	Tense=Past	
_	_	past	_	Tense=Past	
_	_	pmp	_	Tense=Pqp	
_	_	plu	_	Tense=Pqp	
_	_	imp	_	Mood=Imp	
_	_	cni	_	Mood=Cnd	
_	_	prs	_	Tense=Pres|Mood=Sub	
_	_	pis	_	Tense=Past|Mood=Sub	
_	_	fts	_	Tense=Fut|Mood=Sub	
_	_	fti	_	Tense=Fut|Mood=Ind	
_	_	pri	_	Tense=Pres|Mood=Ind	
_	_	pii	_	Tense=Past|Mood=Ind	
_	_	supn	_	VerbForm=Sup	
_	_	ger	_	VerbForm=Ger	
_	_	pp	_	Tense=Past|VerbForm=Part	
_	_	pp2	_	Tense=Past|VerbForm=Part	
_	_	pp3	_	Tense=Past|VerbForm=Part	
_	_	pprs	_	Tense=Pres|VerbForm=Part	
_	_	p1	_	Person=1	
_	_	p2	_	Person=2	
_	_	p3	_	Person=3	
_	_	px1sg	_	Person[psor]=1|Number[psor]=Sing	
_	_	px2sg	_	Person[psor]=2|Number[psor]=Sing	
_	_	px3sg	_	Person[psor]=3|Number[psor]=Sing	
_	_	px1pl	_	Person[psor]=1|Number[psor]=Plur	
_	_	px2pl	_	Person[psor]=2|Number[psor]=Plur	
_	_	px3pl	_	Person[psor]=3|Number[psor]=Plur	
_	_	px3sp	_	Person[psor]=3	
_	_	pst	_	Degree=Pos	
_	_	comp	_	Degree=Cmp	
_	_	sup	_	Degree=Sup	
